Classe,Ordem,Familia,Genero,Especie,Correspondente
Amphibia,,,,,
Amphibia,Anura,,,,
Amphibia,Caudata,,,,
Amphibia,Gymnophiona,,,,
Amphibia,Anura,Allophrynidae,,,
Amphibia,Anura,Alsodidae,,,
Amphibia,Anura,Aromobatidae,,,
Amphibia,Anura,Brachycephalidae,,,
Amphibia,Anura,Bufonidae,,,
Amphibia,Gymnophiona,Caeciliidae,,,
Amphibia,Anura,Centrolenidae,,,
Amphibia,Anura,Ceratophryidae,,,
Amphibia,Anura,Craugastoridae,,,
Amphibia,Anura,Cycloramphidae,,,
Amphibia,Anura,Dendrobatidae,,,
Amphibia,Anura,Eleutherodactylidae,,,
Amphibia,Anura,Hemiphractidae,,,
Amphibia,Anura,Hylidae,,,
Amphibia,Anura,Hylodidae,,,
Amphibia,Anura,Leptodactylidae,,,
Amphibia,Anura,Microhylidae,,,
Amphibia,Anura,Phyllomedusidae,,,
Amphibia,Anura,Pipidae,,,
Amphibia,Caudata,Plethodontidae,,,
Amphibia,Anura,Ranidae,,,
Amphibia,Gymnophiona,Rhinatrematidae,,,
Amphibia,Gymnophiona,Siphonopidae,,,
Amphibia,Gymnophiona,Typhlonectidae,,,
Amphibia,Anura,Microhylidae,Adelastes,,
Amphibia,Anura,Eleutherodactylidae,Adelophryne,,
Amphibia,Anura,Dendrobatidae,Adelphobates,,
Amphibia,Anura,Leptodactylidae,Adenomera,,
Amphibia,Anura,Aromobatidae,Allobates,,
Amphibia,Anura,Allophrynidae,Allophryne,,
Amphibia,Anura,Bufonidae,Amazophrynella,,
Amphibia,Anura,Dendrobatidae,Ameerega,,
Amphibia,Anura,Aromobatidae,Anomaloglossus,,
Amphibia,Anura,Hylidae,Aparasphenodon,,
Amphibia,Anura,Hylidae,Aplastodiscus,,
Amphibia,Anura,Microhylidae,Arcovomer,,
Amphibia,Anura,Bufonidae,Atelopus,,
Amphibia,Gymnophiona,Typhlonectidae,Atretochoana,,
Amphibia,Anura,Craugastoridae,Barycholos,,
Amphibia,Anura,Hylidae,Boana,,
Amphibia,Anura,Hylidae,Bokermannohyla,,
Amphibia,Caudata,Plethodontidae,Bolitoglossa,,
Amphibia,Anura,Brachycephalidae,Brachycephalus,,
Amphibia,Gymnophiona,Siphonopidae,Brasilotyphlus,,
Amphibia,Gymnophiona,Caeciliidae,Caecilia,,
Amphibia,Anura,Phyllomedusidae,Callimedusa,,
Amphibia,Anura,Ceratophryidae,Ceratophrys,,
Amphibia,Anura,Craugastoridae,Ceuthomantis,,
Amphibia,Anura,Microhylidae,Chiasmocleis,,
Amphibia,Gymnophiona,Typhlonectidae,Chthonerpeton,,
Amphibia,Anura,Hylidae,Corythomantis,,
Amphibia,Anura,Leptodactylidae,Crossodactylodes,,
Amphibia,Anura,Hylodidae,Crossodactylus,,
Amphibia,Anura,Phyllomedusidae,Cruziohyla,,
Amphibia,Anura,Microhylidae,Ctenophryne,,
Amphibia,Anura,Cycloramphidae,Cycloramphus,,
Amphibia,Anura,Microhylidae,Dasypops,,
Amphibia,Anura,Dendrobatidae,Dendrobates,,
Amphibia,Anura,Bufonidae,Dendrophryniscus,,
Amphibia,Anura,Hylidae,Dendropsophus,,
Amphibia,Anura,Microhylidae,Dermatonotus,,
Amphibia,Anura,Hylidae,Dryaderces,,
Amphibia,Anura,Leptodactylidae,Edalorhina,,
Amphibia,Anura,Microhylidae,Elachistocleis,,
Amphibia,Anura,Craugastoridae,Eleutherodactylus,,
Amphibia,Anura,Leptodactylidae,Engystomops,,
Amphibia,Anura,Craugastoridae,Euparkerella,,
Amphibia,Anura,Hemiphractidae,Fritziana,,
Amphibia,Anura,Bufonidae,Frostius,,
Amphibia,Anura,Hemiphractidae,Gastrotheca,,
Amphibia,Anura,Craugastoridae,Haddadus,,
Amphibia,Anura,Microhylidae,Hamptophryne,,
Amphibia,Anura,Hemiphractidae,Hemiphractus,,
